year,ncd_premature_death_proportion_pct,ncd_3070_probability_pct,overweight_adult_pct_agestd,obesity_adult_pct_agestd,diabetes_prevalence_pct_agestd,non_hdl_cholesterol_mean_agestd,tobacco_use_pct_agestd,insufficient_physical_activity_pct_agestd,alcohol_percapita_litres,air_pollution_death_rate_agestd,uhc_service_coverage_index,oop_pct_che,oop_per_capita_usd
2000,67.998466492,24.5,20.995504,6.0756993,6.190781899999999,2.9,7.1,17.043276,4.818868209,,23.65041,38.04437256,3.97631245
2001,67.263664246,25.1,22.016719,6.4944707,6.241410050000001,2.9,,17.267477,4.818868209,,,33.58546448,4.08003562
2002,66.371994019,25.2,23.042713,6.9187179,6.29936565,2.9,,17.49539,4.798988779,,,31.97357178,4.5734089
2003,65.978736877,25.3,24.065135,7.3438838,6.3667197,3.0,,17.723448,4.84612507,,,36.10242844,6.82297994
2004,65.36680603,25.2,25.067517,7.7612698,6.44657255,3.0,,17.947233,4.8517334,,,32.52027893,7.64194349
2005,64.594741821,25.2,26.03578,8.1647702,6.540131049999999,3.0,6.0,18.162159,4.903926267,,25.60964,23.56558228,9.05602098
2006,63.906242371,25.2,26.959631,8.5483856,6.648664350000001,3.0,,18.364243,4.938123428,,,35.24680328,17.35637287
2007,63.658817291,25.4,27.825385,8.9053534,6.775707000000001,3.0,5.6,18.550148,4.968834051,,,39.62923813,22.67545706
2008,63.419216156,25.5,28.625727,9.2312925,6.9236593,3.1,,18.717653,4.933936639,,,41.125103,26.04501136
2009,62.971515656,25.7,29.359213,9.5250033,7.09296615,3.1,,18.866209,5.127791392,,,34.95505905,21.79321338
2010,62.336463928,25.4,30.023408,9.7868018,7.28224775,3.1,5.1,18.997995,5.228883399,79.08666666666666,35.24769,34.31673813,27.65144864
2011,62.376922607,25.4,30.624124,10.021187,7.493241149999999,3.2,,19.117264,5.195429244,78.01816666666666,,32.97914886,30.23529541
2012,62.256328583,25.0,31.17882,10.238216,7.723410400000001,3.2,,19.230898,4.949478241,76.28283333333333,,36.85724258,30.20431586
2013,62.27646637,24.7,31.706604,10.450875,7.984028400000001,3.2,,19.349007,4.968151155,74.29333333333334,,38.87570953,40.95472062
2014,62.596969604,24.4,32.232863,10.671166,8.2792036,3.2,,19.48044,5.008791277,72.04666666666667,,45.05064011,35.34989222
2015,62.252609253,24.2,32.764494,10.903609,8.60808825,3.2,4.3,19.62842,4.915351137,71.2685,43.90984,35.80306244,28.0038742
2016,62.574897766,23.9,33.304498,11.150894,8.96769925,3.3,,19.795277,4.612184437,69.28566666666667,,37.82372665,24.53398566
2017,62.738182068,23.6,33.852455,11.412118,9.35297555,3.3,,19.980072,4.488806446,67.4215,45.46957,22.65083694,12.25546702
2018,62.288589478,23.2,34.408483,11.686822,9.765831550000001,3.3,,20.18181,4.549212312,65.333,,33.48161697,17.87177877
2019,62.103610992,22.8,34.975308,11.976149,10.20513525,,,20.401337,4.58523241,63.7055,46.49993,28.97685051,20.61690832
2020,61.173152924,22.8,35.55268,12.28167,10.67297705,,3.6,20.639736,4.552965704,,,23.7503624,23.12733893
2021,62.696838379,22.2,36.137906,12.601374,11.1707894,,3.5,20.894526,4.443664946,,47.78764,26.49847794,25.01559431
2022,,,36.727545,12.931313,11.697649,,3.4,21.162224,4.443664946,,,25.03213501,20.60672545
