variable,n,n_years_or_districts_total,missing_pct,mean,sd,min,max
ncd_premature_death_proportion_pct,22,23,4.3,63.6,1.86,61.173,67.998
ncd_3070_probability_pct,22,23,4.3,24.541,1.026,22.2,25.7
overweight_adult_pct_agestd,23,23,0.0,29.891,4.698,20.996,36.728
obesity_adult_pct_agestd,23,23,0.0,9.786,1.999,6.076,12.931
diabetes_prevalence_pct_agestd,23,23,0.0,8.032,1.714,6.191,11.698
non_hdl_cholesterol_mean_agestd,19,23,17.4,3.1,0.137,2.9,3.3
tobacco_use_pct_agestd,8,23,65.2,4.825,1.352,3.4,7.1
insufficient_physical_activity_pct_agestd,23,23,0.0,19.087,1.164,17.043,21.162
alcohol_percapita_litres,23,23,0.0,4.824,0.232,4.444,5.229
air_pollution_death_rate_agestd,10,23,56.5,71.674,5.282,63.706,79.087
uhc_service_coverage_index,7,23,69.6,38.311,10.207,23.65,47.788
oop_pct_che,23,23,0.0,33.428,5.964,22.651,45.051
oop_per_capita_usd,23,23,0.0,20.019,10.39,3.976,40.955
