year,actual,predicted_rf,abs_error_rf
2001,0.6000000000000014,0.03173749999999898,0.5682625000000024
2002,0.0999999999999978,0.3230857142857149,0.2230857142857171
2003,0.1000000000000014,0.03163749999999948,0.06836250000000191
2004,-0.1000000000000014,0.07231726190476191,0.17231726190476332
2005,0.0,0.01837242063492015,0.01837242063492015
2006,0.0,0.11190436507936517,0.11190436507936517
2007,0.1999999999999993,0.06721567460317493,0.13278432539682436
2008,0.1000000000000014,0.09860494227994188,0.0013950577200595171
2009,0.1999999999999993,-0.17026271645021673,0.370262716450216
2010,-0.3000000000000007,0.0902527777777775,0.3902527777777782
2011,0.0,-0.3060244047619044,0.3060244047619044
2012,-0.3999999999999986,-0.2069239898989899,0.19307601010100867
2013,-0.3000000000000007,-0.30847559523809476,0.008475595238094047
2014,-0.3000000000000007,-0.29596011904761854,0.004039880952382169
2015,-0.1999999999999993,-0.32886706349206307,0.12886706349206378
2016,-0.3000000000000007,-0.2873700396825392,0.012629960317461497
2017,-0.2999999999999971,-0.19126666666666686,0.10873333333333024
2018,-0.4000000000000021,-0.21804523809523724,0.18195476190476484
