fold_excluded,top3_ranking
0,"('insufficient_physical_activity_pct_agestd', 'overweight_adult_pct_agestd', 'obesity_adult_pct_agestd')"
1,"('insufficient_physical_activity_pct_agestd', 'overweight_adult_pct_agestd', 'obesity_adult_pct_agestd')"
2,"('insufficient_physical_activity_pct_agestd', 'overweight_adult_pct_agestd', 'obesity_adult_pct_agestd')"
3,"('insufficient_physical_activity_pct_agestd', 'overweight_adult_pct_agestd', 'obesity_adult_pct_agestd')"
4,"('insufficient_physical_activity_pct_agestd', 'overweight_adult_pct_agestd', 'obesity_adult_pct_agestd')"
5,"('insufficient_physical_activity_pct_agestd', 'overweight_adult_pct_agestd', 'obesity_adult_pct_agestd')"
6,"('insufficient_physical_activity_pct_agestd', 'overweight_adult_pct_agestd', 'obesity_adult_pct_agestd')"
7,"('insufficient_physical_activity_pct_agestd', 'overweight_adult_pct_agestd', 'obesity_adult_pct_agestd')"
8,"('insufficient_physical_activity_pct_agestd', 'overweight_adult_pct_agestd', 'obesity_adult_pct_agestd')"
9,"('overweight_adult_pct_agestd', 'insufficient_physical_activity_pct_agestd', 'obesity_adult_pct_agestd')"
10,"('insufficient_physical_activity_pct_agestd', 'overweight_adult_pct_agestd', 'obesity_adult_pct_agestd')"
11,"('insufficient_physical_activity_pct_agestd', 'overweight_adult_pct_agestd', 'obesity_adult_pct_agestd')"
12,"('insufficient_physical_activity_pct_agestd', 'overweight_adult_pct_agestd', 'obesity_adult_pct_agestd')"
13,"('insufficient_physical_activity_pct_agestd', 'overweight_adult_pct_agestd', 'obesity_adult_pct_agestd')"
14,"('insufficient_physical_activity_pct_agestd', 'overweight_adult_pct_agestd', 'obesity_adult_pct_agestd')"
15,"('overweight_adult_pct_agestd', 'insufficient_physical_activity_pct_agestd', 'obesity_adult_pct_agestd')"
16,"('overweight_adult_pct_agestd', 'insufficient_physical_activity_pct_agestd', 'obesity_adult_pct_agestd')"
17,"('overweight_adult_pct_agestd', 'insufficient_physical_activity_pct_agestd', 'obesity_adult_pct_agestd')"
